,date,region,source,ship_type,area,location,pollutant,estimated_litres
172,30/07/2004,Cairns,Ship,Commercial,port limits,D Finger Commercial Fishermans Base #1,bilge,5.0
173,8/08/2004,Cairns,Ship,Commercial,coastal waters,Fairway Channel near Pipin Reef,sheen,unknown
174,9/08/2004,Cairns,Ship,Unknown,port limits,E. Finger Marlin Marina,diesel,15.0
175,16/08/2004,Cairns,Land,Unknown,port limits,"Main Wharf, Thursday Island",sheen,6.0
176,16/08/2004,Mackay,Ship,Commercial,coastal waters,5 nm NE High Peak Island,bilge,unknown
177,17/08/2004,Gladstone,Unknown,Unknown,coastal waters,Great Keppel Island,bilge,unknown
178,24/08/2004,Cairns,Ship,Commercial,port limits,Thursday Island Harbour,sheen,unknown
179,24/08/2004,Cairns,Ship,Unknown,port limits,HMAS Cairns base form HMAS Ipswich,diesel,2.0
180,2/09/2004,Brisbane,Land,Unknown,coastal waters,Storm water drain between North Key and William Jolly Bridge,other,unknown
181,7/09/2004,Brisbane,Ship,Commercial,port limits,"Raptis Wharf, Brisbane River",other,40.0
182,9/09/2004,Cairns,Unknown,Unknown,port limits,Between #10 South Dolphin and naval base,sheen,5.0
183,18/09/2004,Brisbane,Ship,Recreational,port limits,"112 Quay St, Bulimba, Brisbane River",diesel,5.0
184,28/09/2004,Brisbane,Unknown,Unknown,coastal waters,"Mooloolah River, Mooloolaba",diesel,unknown
185,28/09/2004,Cairns,Ship,Recreational,port limits,Sail Fish Quay Marlin Marina,bilge,60.0
186,29/09/2004,Townsville,Ship,Unknown,coastal waters,"Rowes Bay, Bowen",hfo,unknown
187,3/10/2004,Mackay,Ship,Recreational,coastal waters,1 km East of Whitsunday Isl Craig,sheen,unknown
188,4/10/2004,Brisbane,Ship,Commercial,port limits,Outside area of Scarborough Harbour,bilge,unknown
189,6/10/2004,Cairns,Ship,Commercial,port limits,"Between D Finger CFB 1 and Tropical Reef slipway, Trinity Inlet/ Smiths Creek",bilge,40.0
190,7/10/2004,Brisbane,Unknown,Unknown,port limits,Whyte Island Tug Base,unknown,unknown
191,10/10/2004,Brisbane,Land,Unknown,coastal waters,"Golden Beach, Pumicestone Passage",diesel,unknown
192,12/10/2004,Brisbane,Land,Unknown,port limits,Fisherman Is #3 berth,diesel,100.0
193,18/10/2004,Brisbane,Land,Unknown,coastal waters,"Diet Park ferry terminal, St Lucia",other,unknown
194,18/10/2004,Brisbane,Unknown,Unknown,port limits,"Brisbane River, mouth of Dobey Creek",diesel,unknown
195,19/10/2004,At Sea,Ship,Commercial,coastal waters,"31 miles to sea, ESE from Pt Lookout, bearing 115",other,unknown
196,21/10/2004,Mackay,Ship,Commercial,coastal waters,"Centenary Cay, Swains Reef",diesel,unknown
197,22/10/2004,Brisbane,Ship,Commercial,port limits,Fishermans Islands Berth 7,bilge,500.0
198,24/10/2004,Mackay,Ship,Unknown,port limits,Mackay Marina,diesel,unknown
199,27/10/2004,Brisbane,Unknown,Unknown,coastal waters,Scarborough Harbour,bilge,unknown
200,31/10/2004,Brisbane,Ship,Commercial,port limits,"Brisbane River, Pikenba no 2 berth",other,unknown
201,31/10/2004,Brisbane,Unknown,Unknown,port limits,"Moreton Bay, Woody Point, adj Woodcliffe Cres",other,unknown
202,1/11/2004,Townsville,Ship,Commercial,port limits,South Townsville,diesel,unknown
203,5/11/2004,Brisbane,Ship,Commercial,coastal waters,"Public boat ramp, Kings Beach, Caloundra",diesel,unknown
204,6/11/2004,Brisbane,Unknown,Unknown,port limits,"Bulimba Reach, Teneriffe, Brisbane River",other,unknown
205,15/11/2004,Brisbane,Unknown,Unknown,coastal waters,Manly Boat Harbour,sheen,unknown
206,17/11/2004,Brisbane,Unknown,Unknown,port limits,Bretts Wharf to Breakfast Creek,diesel,unknown
207,19/11/2004,Gladstone,Ship,Commercial,port limits,"2 cables SSE of Turtle Island, Gladstone Harbour",diesel,unknown
208,20/11/2004,Brisbane,Ship,Recreational,coastal waters,"Wood canal, Aquatic Paradise, Birkdale",diesel,unknown
209,21/11/2004,Mackay,Ship,Commercial,port limits,Hay Point Anchorage,bilge,unknown
210,23/11/2004,Brisbane,Unknown,Unknown,coastal waters,"Gardens Pt moorings, Town Reach, Brisbane River",sheen,unknown
211,6/12/2004,Brisbane,Ship,Recreational,coastal waters,"1 mile, Stradbroke Island",other,unknown
212,9/12/2004,Mackay,Ship,Recreational,coastal waters,Repulse Bay leading into Laguna Quays marina,sheen,unknown
213,25/12/2004,Brisbane,Unknown,Unknown,port limits,"Brisbane River, Bulimba Reach- Bartons Rd, Hawthorne",sheen,unknown
214,26/12/2004,Townsville,Ship,Commercial,coastal waters,Palm Passage,hfo,unknown
215,29/12/2004,Cairns,Ship,Commercial,port limits,Trinity Petroleum Fuel Berth,sheen,300.0
216,31/01/2005,Brisbane,Unknown,Unknown,coastal waters,"Weinam Creek, Redland Bay (near old water taxi terminal)",diesel,50.0
217,1/02/2005,Brisbane,Land,Unknown,coastal waters,"Storm Water Drain into Brisbane River, New Farm (100m upstream Merthyr Rd)",other,unknown
218,1/02/2005,Townsville,Unknown,Unknown,port limits,"Ross Creek, adjacent to Motor Boat Club, Tomlin St",sheen,unknown
219,3/02/2005,Brisbane,Ship,Recreational,coastal waters,"Raby Bay Marina, Endeavour Canal, Raby Bay",sheen,unknown
220,9/02/2005,Brisbane,Unknown,Unknown,coastal waters,"Stanford Plaza, Downstream from Botanical Gardens",sheen,unknown
221,19/02/2005,Brisbane,Unknown,Unknown,port limits,"Bulimba Reach, Brisbane River",sheen,unknown
222,24/02/2005,Brisbane,Land,Unknown,port limits,"Boat Passabe , Whyte Island, Brisbane River",sheen,unknown
223,24/02/2005,Brisbane,Unknown,Unknown,coastal waters,Mooloolaba Boat Harbour,diesel,unknown
224,24/02/2005,Cairns,Ship,Unknown,port limits,"Main Wharf, Thursday Island",diesel,300.0
225,25/02/2005,Cairns,Ship,Commercial,coastal waters," Inner Route, North of Cairns",bilge,unknown
226,7/03/2005,Cairns,Land,Unknown,coastal waters,"Badu Island, Torres Strait",diesel,unknown
227,9/03/2005,Brisbane,Ship,Recreational,coastal waters,"Newport Waterways Marina, Scarborough",bilge,unknown
228,30/03/2005,Brisbane,Unknown,Unknown,coastal waters,"Cabbage Tree Creek, Sandgate",sheen,unknown
229,30/03/2005,Cairns,Ship,Commercial,port limits,"Trinity Inlet, Cairns - betwenCoconut Slipway & Redbank Ck",diesel,10.0
230,1/04/2005,Cairns,Unknown,Unknown,port limits,"Commercial Fishermans Base 2, Smiths Creek, Cairns",diesel,5.0
231,11/04/2005,Brisbane,Land,Unknown,port limits,"Caincross Bockyard, Brisbane River",bilge,40.0
232,14/04/2005,Brisbane,Unknown,Unknown,port limits,Fishermans Islands #3,sheen,unknown
233,16/04/2005,Brisbane,Unknown,Unknown,port limits,"Caincross Dockyard, Brisbane River",sheen,unknown
234,19/04/2005,Cairns,Ship,Unknown,port limits,HMAS Cairns base form HMAS Ipswich,diesel,100.0
235,22/04/2005,Brisbane,Unknown,Unknown,coastal waters,"Browns Slipway, Nooloola River",sheen,unknown
236,4/05/2005,Mackay,Ship,Recreational,coastal waters,"Marble Island, Duke Group",diesel,2000.0
237,5/05/2005,Cairns,Ship,Unknown,port limits,Thursday Island Harbour,sheen,unknown
238,11/05/2005,Brisbane,Unknown,Unknown,port limits,"Cabbage Tree Creek, Sandgate",diesel,unknown
239,20/05/2005,Cairns,Ship,Unknown,port limits,"Marlin Marina, Cairns",bilge,unknown
240,20/05/2005,Cairns,Unknown,Unknown,coastal waters,Port Douglas,sheen,unknown
241,2/06/2005,Brisbane,Unknown,Unknown,port limits,"Cabbage Tree Creek, Sandgate",sheen,unknown
242,15/06/2005,Brisbane,Unknown,Unknown,coastal waters,"Petrie Bight, Brisbane River",sheen,unknown
243,20/06/2005,Brisbane,Unknown,Unknown,port limits,Scarborough Harbour,sheen,unknown
244,29/06/2005,Brisbane,Land,Unknown,port limits,"Fishermans Islands, Brisbane",diesel,unknown
245,17/07/2005,Cairns,Ship,Commercial,port limits,Thursday Island Harbour,diesel,180.0
246,10/08/2005,Cairns,Unknown,Unknown,port limits,Marlin Marina Cairns,other,unknown
247,16/08/2005,Brisbane,Ship,Recreational,coastal waters,Scarbrough Boat Harbour,lubricant oil,unknown
248,24/08/2005,Gladstone,Ship,Commercial,port limits,Gladstone Harbour,diesel,unknown
249,25/08/2005,Cairns,Ship,Commercial,port limits,"Smiths Creek, Cairns",bilge,unknown
250,31/08/2005,Cairns,Ship,Commercial,port limits,Thursday Island Main Wharf,diesel,unknown
251,21/09/2005,Cairns,Unknown,Unknown,coastal waters,"Marina Mirage, Port Douglas",diesel,unknown
252,22/09/2005,Mackay,Unknown,Unknown,port limits,Mackay Marina,diesel,5.0
253,6/10/2005,Cairns,Ship,Recreational,coastal waters,"Marina Mirage, Port Douglas",diesel,unknown
254,6/10/2005,Cairns,Ship,Commercial,port limits,"No. 4 Wharf, Cairns",bilge,5.0
255,7/10/2005,Cairns,Ship,Unknown,coastal waters,"Marina Mirage, Port Douglas",bilge,unknown
256,10/10/2005,Cairns,Ship,Recreational,port limits,Mourilyan Harbour,diesel,unknown
257,10/10/2005,Townsville,Ship,Commercial,port limits,"Berth 10, Townsville Harbour",hfo,unknown
258,11/10/2005,Cairns,Unknown,Unknown,port limits,Thursday Island Harbour,diesel,unknown
259,15/10/2005,Brisbane,Unknown,Unknown,port limits,"Shaftston Reach, Brisbane River",diesel,unknown
260,20/10/2005,Cairns,Unknown,Unknown,port limits,"Smiths Creek, Cairns",bilge,20.0
261,23/10/2005,Gladstone,Ship,Recreational,coastal waters,"Fitzroy River, Rockhampton",diesel,unknown
262,28/10/2005,Cairns,Ship,Unknown,port limits,"Marina Mirage, Port Douglas",bilge,unknown
263,28/10/2005,Cairns,Ship,Commercial,coastal waters,"Mulgrave River, Deeral",bilge,unknown
264,7/11/2005,Cairns,Ship,Commercial,coastal waters,Armistice Reef,bilge,unknown
